id,title,price,sold_quantity,available_quantity,condition,site_id,category_id
MLA1390283187,Xiaomi Stick 4k Mdz-27-aa Control De Voz 4k 8gb Negro Con 2gb De Memoria Ram,54990,0,1,new,MLA,MLA352001
MLA1391264291,Android Tv Stick Control De Voz Full Hd 16gb Con 2gb De Ram,44999,5,1,new,MLA,MLA352001
MLA1140062600,Xiaomi Mi Tv Stick 4k 8gb Ram 2gb Chromecast Netflix Amazon,59899,200,1,new,MLA,MLA352001
MLA873141712,Xiaomi Mi Tv Stick Full Hd Android Chromecast Netflix Amazon,59999,100,500,new,MLA,MLA352001
MLA1391312469,Xiaomi Mi Tv Stick 4k 8gb Ram 2gb Chromecast Amazon Netflix ,71279,0,1,new,MLA,MLA352001
MLA1168352455,Xiaomi Mi Tv Stick Mdz-24-aa De Voz Full Hd 8gb,68900,100,1,new,MLA,MLA352001
MLA1163794492,Xiaomi Mi Stick Tv 4k Uhd Android Chromecast+ Control Remoto,120743.74,2,150,new,MLA,MLA352001
MLA1104393417, Xiaomi Mi Tv Stick Full Hd 8gb Negro Con 1gb De Ram,64657,5,1,new,MLA,MLA352001
MLA1163526604,Xiaomi Mi Stick Tv 4k Uhd Android Chromecast+ Control Remoto,81667.87,2,150,new,MLA,MLA352001
MLA919132806, Xiaomi Mi Tv Stick De Voz Full Hd 8gb Negro 1gb Ram,70999,3,1,new,MLA,MLA352001
MLA1124556559,Xiaomi Mi Tv Stick Full Hd Chromecast Android Amazon Netflix,68990,25,1,new,MLA,MLA352001
MLA1156364072,Xiaomi Mi Tv Stick Full Hd 8gb Android 9.0 Hdmi 2k Pcreg,61969,50,500,new,MLA,MLA352001
MLA934496726, Xiaomi Mi Tv Stick Mdz-24-aa  De Voz Full Hd 8gb  1gb ,49950,5,1,new,MLA,MLA352001
MLA898102021,Xiaomi Mi Stick Tv Fhd Android Chromecast + Control Remoto,110078.8,5,500,new,MLA,MLA352001
MLA924341937,Xiaomi Mi Tv Stick De Voz Full Hd 8gb Con 1gb De Memoria Ram,94989,5,1,new,MLA,MLA352001
MLA1174156069,Tv Stick Xiaomi Hdmi 1080p Andorid Tv Google Netflix Bt Voz,63750,3,1,new,MLA,MLA352001
MLA1437356356,Dispositivo Para Streaming De Video/audio Xiaomi Mi Tv Stick,100999.88,0,1,new,MLA,MLA352001
MLA898101986,Xiaomi Mi Stick Tv Fhd Android Chromecast + Control Remoto,74494.99,25,500,new,MLA,MLA352001
